,active,code,firstName,hasMorePages,id,lastName,number,officialDenomination,salutationLetter,salutationTitle,updated
2071,False,,Rudolf,,2672,Meier,,,,,2015-05-17T21:18:19Z
2072,False,PER_2265_,Samuel,,149,Meier,2265.0,Meier Samuel,,,2015-05-17T21:18:19Z
2073,False,PER_1128_,Werner,,679,Meier,1128.0,Meier Werner,,,2015-05-17T21:18:19Z
2074,False,,Paul,,2673,Meierhans,,,,,2015-05-17T21:18:19Z
2075,False,,Arnold,,2674,Meier-Ragg,,,,,2015-05-17T21:18:19Z
2076,False,PER_2516_,Lucrezia,,494,Meier-Schatz,2516.0,Meier-Schatz,,,2015-05-17T21:18:19Z
2077,False,,Wilhelm,,2675,Meile,,,,,2015-05-17T21:18:19Z
2078,False,,Armin,,2676,Meili,,,,,2015-05-17T21:18:19Z
2079,False,,Jakob,,2677,Meili,,,,,2015-05-17T21:18:19Z
2080,False,,Ulrich jun.,,2678,Meister,,,,,2015-05-17T21:18:19Z
2081,False,,Ulrich sen.,,2679,Meister,,,,,2015-05-17T21:18:19Z
2082,False,,Werner,,2680,Meister,,,,,2015-05-17T21:18:19Z
2083,False,PER_2118_,Bernard,,751,Meizoz,2118.0,Meizoz,,,2015-05-17T21:18:19Z
2084,False,,Armand,,2681,Melly,,,,,2015-05-17T21:18:19Z
2085,False,PER_2517_,Anne-Catherine,,495,Menétrey-Savary,2517.0,Menétrey-Savary,,,2015-05-17T21:18:19Z
2086,False,,Hans,,2682,Meng,,,,,2015-05-17T21:18:19Z
2087,False,,Fr.-Xavier,,2683,Menoud,,,,,2015-05-17T21:18:19Z
2088,False,,Charles Philippe,,2684,Mercier,,,,,2015-05-17T21:18:19Z
2089,False,,Joachim,,2685,Mercier,,,,,2015-05-17T21:18:19Z
2090,False,,Lucien,,2686,Mercier,,,,,2015-05-17T21:18:19Z
2091,False,,Philippe,,2687,Mercier,,,,,2015-05-17T21:18:19Z
2092,False,,Joh. Rudolf,,2688,Merian,,,,,2015-05-17T21:18:19Z
2093,False,,Gustave,,2689,Merkle,,,,,2015-05-17T21:18:19Z
2094,True,PER_3042_,Giovanni,,4140,Merlini,3042.0,Merlini,,,2018-02-21T11:17:00Z
2095,False,,John-Edouard,,2690,Mermod,,,,,2015-05-17T21:18:19Z
2096,False,,John Henri,,2691,Mermoud,,,,,2015-05-17T21:18:19Z
2097,False,PER_1129_,Christian,,680,Merz,1129.0,Merz,,,2015-05-17T21:18:19Z
2098,False,PER_2451_,Hans-Rudolf,,398,Merz,2451.0,Merz Hans-Rudolf,,,2015-05-17T21:18:19Z
2099,False,,Karl Josef Leonhard,True,2692,Merz,,,,,2015-05-17T21:18:19Z
2100,False,,Leo,,2693,Merz,,,,,2015-05-17T21:18:19Z
2101,False,,Johann,,2694,Mesmer,,,,,2015-05-17T21:18:19Z
2102,False,,Anton August,,2695,Messmer,,,,,2015-05-17T21:18:19Z
2103,False,,Johann,,2696,Messmer,,,,,2015-05-17T21:18:19Z
2104,False,PER_2518_,Werner,,496,Messmer,2518.0,Messmer,,,2015-05-17T21:18:19Z
2105,False,PER_1130_,Willy,,681,Messmer,1130.0,Messmer Willy,,,2015-05-17T21:18:19Z
2106,False,,Rudolf,,2697,Metry,,,,,2015-05-17T21:18:19Z
2107,False,PER_2567_,Ruth,,804,Metzler-Arnold,2567.0,Metzler-Arnold,,,2015-05-17T21:18:19Z
2108,False,,Anton,,2698,Meuli,,,,,2015-05-17T21:18:19Z
2109,False,,Albert,,2700,Meyer,,,,,2015-05-17T21:18:19Z
2110,False,,Albert,,2699,Meyer,,Meyer,,,2015-05-17T21:18:19Z
2111,False,,Arnold,,2701,Meyer,,,,,2015-05-17T21:18:19Z
2112,False,,Fritz,,2702,Meyer,,,,,2015-05-17T21:18:19Z
2113,False,,Hans Rudolf,,1219,Meyer,,Meyer Hans Rudolf,,,2015-05-17T21:18:19Z
2114,False,,Helen,,2703,Meyer,,,,,2015-05-17T21:18:19Z
2115,False,,Isidor,,2704,Meyer,,,,,2015-05-17T21:18:19Z
2116,False,,Jakob,,2705,Meyer,,,,,2015-05-17T21:18:19Z
2117,False,,Johann Ulrich,,2706,Meyer,,,,,2015-05-17T21:18:19Z
2118,False,,Josef,,2707,Meyer,,,,,2015-05-17T21:18:19Z
2119,False,PER_1034_,Kurt,,588,Meyer,1034.0,Meyer Kurt,,,2015-05-17T21:18:19Z
2120,False,,Leo,,2708,Meyer,,,,,2015-05-17T21:18:19Z
2121,False,,Ludwig Plazid,,2709,Meyer,,,,,2015-05-17T21:18:19Z
2122,False,,Ludwig-Friedrich,,2710,Meyer,,,,,2015-05-17T21:18:19Z
2123,True,PER_3087_,Mattea,,4198,Meyer,3087.0,Meyer Mattea,,,2018-03-20T12:33:56Z
2124,False,,Philipp,,2711,Meyer,,,,,2015-05-17T21:18:19Z
2125,False,,Renward,,2712,Meyer,,,,,2015-05-17T21:18:19Z
2126,False,,Robert,,2713,Meyer,,,,,2015-05-17T21:18:19Z
2127,False,PER_2261_,Theo,,150,Meyer,2261.0,Meyer Theo,,,2015-05-17T21:18:19Z
2128,False,,Walter F.,,2714,Meyer,,,,,2015-05-17T21:18:19Z
2129,False,,Ulrich,,2715,Meyer-Boller,,,,,2015-05-17T21:18:19Z
2130,False,PER_2470_,Thérèse,,435,Meyer-Kaelin,2470.0,Meyer Thérèse,,,2015-05-17T21:18:19Z
2131,False,PER_1078_,René,,632,Meylan,1078.0,Meylan,,,2015-05-17T21:18:19Z
2132,False,,Abram-Daniel,,2716,Meystre,,,,,2015-05-17T21:18:19Z
2133,False,,Friedrich,,2717,Michel,,,,,2015-05-17T21:18:19Z
2134,False,,Georg,,2718,Michel,,,,,2015-05-17T21:18:19Z
2135,False,,Joh. Friedrich,,2719,Michel,,,,,2015-05-17T21:18:19Z
2136,False,PER_2663_,Jürg,,1352,Michel,2663.0,Michel Jürg,,,2015-05-17T21:18:19Z
2137,False,,François-Jules,,2720,Micheli,,,,,2015-05-17T21:18:19Z
2138,False,,Horace,,2721,Micheli,,,,,2015-05-17T21:18:19Z
2139,False,,Meinrad,,2722,Michlig,,,,,2015-05-17T21:18:19Z
2140,False,PER_2311_,Christian,,151,Miesch,2311.0,Miesch,,,2015-05-17T21:18:19Z
2141,False,,Rudolf,,2723,Miescher,,,,,2015-05-17T21:18:19Z
2142,False,,Adrien,,2724,Miéville,,,,,2015-05-17T21:18:19Z
2143,False,,Paul,,2725,Migy,,,,,2015-05-17T21:18:19Z
2144,False,,Friedrich,,2726,Minder,,,,,2015-05-17T21:18:19Z
2145,True,PER_3019_,Thomas,,4112,Minder,3019.0,Minder,,,2017-11-13T09:28:49Z
2146,False,,Hans,,2727,Ming,,,,,2015-05-17T21:18:19Z
2147,False,,Peter Anton,,2728,Ming,,,,,2015-05-17T21:18:19Z
2148,False,,Rudolf,,2729,Minger,,Minger,,,2015-05-17T21:18:19Z
2149,False,PER_2312_,Marguerite,True,152,Misteli,2312.0,Misteli,,,2015-05-17T21:18:19Z
2150,False,,Carl,,2730,Miville,,Miville Carl,,,2015-05-17T21:18:19Z
2151,False,PER_2228_,Carl jun.,,789,Miville,2228.0,Miville,,,2015-05-17T21:18:19Z
2152,False,,Georges,,2731,Moeckli,,,,,2015-05-17T21:18:19Z
