,0
272,Cinésuisse und Polit-Forum des Bundes
273,Schweizerische UNESCO-Kommission
274,"Pro Natura, SVS/BirdLife Schweiz, WWF mit NR Maya Graf"
275,NR Otto Ineichen und Verein kmuNEXT
276,IG Innenstadtverkehr
277,"Initiativkomitee ""Für Geldspiele im Dienste des Gemeinwohls"""
278,Liberale Partei der Schweiz (LPS)
279,Frauenbündnis gegen die nationalrätlichen Kommissionsbeschlüsse zur 11. AHV-Revision
280,Bundesamt für Landestopografie (swisstopo)
281,"Initiativkomitee ""Staatsverträge vors Volk"""
282,NR Paul Rechsteiner
283,Eidgenössische Ethikkommission für die Biotechnologie im Ausserhumanbereich
284,Die Schweizerische Post
285,Gesundheitsdirektorenkonferenz und Finanzdirektorenkonferenz
286,Solar Impulse
287,Staatssekretariat für Bildung und Forschung (SBF) / ETH-Rat
288,"SGB, SEV, Unia"
289,Schweizerische Bundesbahnen (SBB)
290,Überparteiliches Komitee gegen die Maulkorb-Initiative
291,NR Ada Marra
292,NR Christoph Mörgeli
293,"SR Simonetta Sommaruga, SR Alain Fournier , NR Ruedi Rechsteiner u.a."
294,Projektorganisation Öffentliche Hand UEFA EURO 2008 (POÖH)
295,Überparteiliches Komitee für mehr Qualität in der Gesundheitsversorgung
296,Touring Club Schweiz (TCS)
297,"Überparteiliches Komitee ""Nein zum Betäubungsmittelgesetz"""
298,Eidgenössisches Justiz und Polizeidepartment (EJPD) / Die Post
299,Schweizerische Herzstiftung
300,Zentrum für Sozialwissenschaften an der Universität Lausanne (FORS)
301,"Überparteiliches Komitee ""Für mehr Qualität in der Gesundheitsversorgung - Gesundheitsartikel JA am 1. Juni"""
302,Überparteiliches Komitee gegen die Zweiklassenmedizin
303,"Komitee ""Nein zu unfairen Einbürgerungen"""
304,SRG SRR idée suisse
305,Komitee gegen eine Zweiklassenmedizin
306,Legislaturplanungskommission (LPK-S)
307,Bundesamt für Kultur (BAK) / Stiftung Bibliomedia Schweiz / Schweizerische Institut für Kinder- und Jugendmedien SIKJM
308,Swissolar
309,Überparteiliches Komitee CVP/EVP/glp gegen die Einbürgerungsinitiative
310,Eidgenössisches Departement für auswärtige Angelegenheiten (EDA) / Eidgenössisches Departement des Innern (EDI)
311,Nationalrat Otto Ineichen
312,Überparteiliches Komitee für das Verbot von Streubomben - Parlamentarische Initiative Dupraz
313,Parlamentarische Gruppe Sport und Bundesamt für Sport BASPO
314,Liberales Komitee - Nein zur Einbürgeruns-Initiative
315,Stiftung für Konsumentenschutz (SKS)
316,hörenschweiz
317,Travail.Suisse / Katholischer Frauenbund / Evangelischer Frauenbund / Männer.ch
318,Schweizer Presserat
319,"Überparteiliches Komitee ""für mehr Qualität in der Gesundheitsversorgung - Gesundheitsartikel JA am 1. Juni"""
320,Forschungsanstalt Agroscope Liebefeld-Posieux ALP
321,Plattform zu den Sans-Papiers
322,Eidg. Alkoholverwaltung (bis 12.2017)
323,Kampagne Euro 08 gegen Frauenhandel
324,vpod / SGB
325,VCS Verkehrs-Club der Schweiz
326,SPS / Bündnis gegen neue Kampfflugzeuge
327,Eidgenössisches Institut für Geistiges Eigentum
328,NR Louis Schelbert und NR Ruedi Aeschbacher
329,ch Stiftung für eingenössische Zusammenarbeit
330,Gesamtprojektkoordination Bund UEFA EURO 2008
331,SP Schweiz / Second@s Plus Schweiz
332,Rudolf Strahm
333,JCVP
334,Pro Jugendschutz gegen Drogenkriminalität
335,"Trägerverein ""Ja zur Landschaftsinitiative"""
336,Generalsekretariat VBS in Zusammenarbeit mit der Gesamtprojektkoordination Öffentliche Hand UEFA EURO 2008
337,Egerkinger Komitee
338,Allianz Energetische Gebäudesanierung - JETZT! (AEG-J)
339,Gesellschaft Schweizerisch Tibetische Freundschaft / Verein Tibeter Jugend in Europa / Tibeter Gemeinschaft Schweiz Liechtenstein / Tibetische Frauenorganisation
340,Gesundheitsdirektorenkonferenz (GDK)
341,"""Aktion Medienfreiheit"""
342,santésuisse
343,Fonds Landschaft Schweiz FLS
344,Union der Freisinnigen und Liberalen
345,"Verein ""Openair auf dem Bundesplatz - eine Schweiz mit Herz"" / Eidg. Büro für die Gleichstellung von Menschen mit Behinderungen"
346,Verein Grundrechte
347,"Komitee der Mitte "" JA zum bilateralen Weg"""
348,Verein grundrechte.ch
349,"Schweizerischer Gewerbeverband SGV, Schweizerischer Arbeitgeberverband SAV, Centre Patronal"
350,Schweizerischer Nationalfonds SNF
351,Kaufmännischer Verband Schweiz
352,Netzwerk für sozial verantwortliche Wirtschaft NSW / Verein für soziale Gerechtigkeit
353,Solar Agentur Schweiz
354,Schweizerische Nationalbibliothek
355,Gesundheitsdirektorenkonferenz (GDK) und Verbindung der Schweizer Ärztinnen und Ärzte (FMH)
356,"SWISSAID, Schweizerischer Bauernverband, Greeenpeace, Brot für Alle"
357,Direktion für Entwicklung und Zusammenarbeit (DEZA) / Staatssekretariat für Wirtschaft (SECO)
358,Preisüberwachung / Eidgenössische Kommunikationskommission (ComCom) / Wettbewerbskommission (WEKO)
359,Bundesamt für Raumentwicklung
360,IG modernes Fernsehen
361,"Überparteiliches Komitee ""Oui à la sécurité routière, Oui à la 3e voie autoroutière entre Lausanne et Genève"""
362,Urner Landrat
363,Liberale Partei der Schweiz LPS
364,"Komitee ""Ja zum Betäubungsmittelgesetz"""
365,Amnesty International / Verband Schweizerischer Polizei-Beamter / Schweizerischer Eisenbahn- und Verkehrspersonal-Verband / Ebenrain-Konferenz
366,NR Geri Müller/Initiativkomitee
367,Eidg. Finanzmarktaufsicht FINMA
368,"Swissmedic, Schweizerisches Heilmittelinstitut"
369,Tierschutzbund Zürich
370,Frauenbündnis AHV/SGB
371,FDP Schweiz/LPS
372,Komitee gegen die Abschaffung des Verbandsbeschwerderechts c/o GPS
373,"CVP, FDP, SVP, glp und LPS"
374,CVP/EVP
375,NR Otto Ineichen
376,Schweizerischer Nationalfonds
377,Referendumskomitee HarmoS Kt. Bern
378,Überparteiliches Komitee SP GP CSP EVP
379,Überparteiliches Komitee SP FDP CVP GLP GP EVP CSP
380,NR Rudolf Rechsteiner
381,Junge CVP Schweiz
382,Travail.Suisse und KV Schweiz
383,"jevp Schweiz, JSVP Schweiz, JEDU Kanton Bern"
384,Komitee der Mitte CVP-EVP-glp
385,Integrationsbüro EDA/EVD (IB) - ab 1.1.2013 im EDA
386,Interessengemeinschaft Agrarstandort Schweiz IGAS
387,Schweizerische Nationalbank
388,UREK-S
389,Parlamentarische Gruppe Schweiz-Armenien
