,0
431,Eidgenössisches Departement des Innern EDI und Eidgenössisches Departement  für auswärtige Angelegenheiten EDA
432,Bibliothèque nationale suisse
433,Swiss National Library
434,"JungsozialistInnen, Junge CVP, Jungfreisinnige Schweiz , Junge Grüne Schweiz, Junge EVP, young european swiss (YES), Forum Jugendsession."
435,Schweizerischer Städteverband
436,SBG/VPOD/SBK/VSAO
437,"Schweizerischer Bauernverband, Schweizerischer Gewerbeverband, Schweizerischer Arbeitgeberverband und economiesuisse"
438,economiesuisse
439,Zentrum für Technologiefolgen-Abschätzung TA-SWISS
440,Schweizerische Osteuropabibliothek und Käfigturm - Ein Polit-Forum des Bundes
441,Regierungsrat des Kantons Zürich / Gemeinderat Hinwil
442,"VCS Verkehrs-Club der Schweiz, Greenpeace, WWF"
443,Familiä-Partei Schweiz
444,Überparteiliches Komitee (SP/Grüne/CSP)
445,"Konferenz der Kantonsregierungen, Konferenz der kantonalen Volkswirtschaftsdirektorinnen - und direktoren, Konferenz der kantonalen Justiz- und Polizeidirektorinnen und -direktoren"
446,Überparteiliches Wirtschaftskomitee gegen die Ausdehnung der Personenfreizügigkeit auf Rumänien und Bulgarien
447,Überparteiliches liberales Komitee
448,Überparteiliches Komitee gegen die unkontrollierte Einwanderung
449,H+ Die Spitäler der Schweiz / CURAVIVA - Verband Heime und Institutionen Schweiz
450,SEV
451,vips Vereinigung Pharmafirmen in der Schweiz; Interpharma; SGCI Chemie Pharma Schweiz
452,GPK-N und GPK-S
453,Eidgenössische Kommission für Frauenfragen EKF und Eidgenössisches Departement für auswärtige Angelegenheiten EDA
454,CVP Frauen
455,"Überparteiliches Komitee ""Personenfreizügigkeit"" / AUNS"
456,Fastenopfer und Brot für alle
457,Demokratische Juristinnen und Juristen Schweiz
458,"Konsumentenorganisationen acsi, FRC, kf und SKS"
459,Parlamentarische Gruppe Schweiz-Armenien (PGArm)
460,"Allianz ""Nein zu neuen AKW"""
461,UNIA
462,FK-S
463,"Junge Grüne, Junge SVP, Juso, Jungfreisinnige und Junge EVP"
464,"Universität Bern, Zentrum für universitäre Weiterbildung (vormals Koordinationsstelle für Weiterbildung), Bern"
465,Politische Allianz gegen die Revision der Labortarife
466,Logistikbasis der Armee
467,"Trägerorganisationen der Volksinitiative ""Für den Schutz vor Waffengewalt"""
468,Eidgenössische Kommission gegen Rassismus (EKR)
469,"Links-grünes Komitee ""Nein zum biometrischen Pass"""
470,"Ja-Komitee ""Zukunft mit Komplementärmedizin"""
471,Eidg. Departement des Innern und Eidg. Justiz- und Polizeidepartement
472,Verein NWA - Nie Wieder Atomkraftwerke
473,"Verein ""pro IV"""
474,RehaKo
475,Eidgenössische Elektrizitätskommission ElCom
476,Mediapulse AG für Medienforschung
477,Verein Geraubte Kindheit
478,Energieformum Schweiz
479,Energieforum Schweiz
480,Justizdirektion des Kantons Uri / Bundesamt für Kultur BAK / Inventar der schützenswerten Ortsbilder der Schweiz (ISOS)
481,RUAG Holding
482,Berufsverbände im Gesundheitswesen
483,metrobasel - Plattform für die Entwicklung der Metropolitanregion Basel
484,Zivildienst
485,Konferenz der kantonalen Justiz- und Polizeidirektorinnen und -direktoren (KKJPD)
486,Gesundheitsdirektorenkonferenz GDK
487,Kunststoff Verband Schweiz  KVS
488,Eidg. Departement für auswärtige Angelegenheiten (EDA) / Präsenz Schweiz
489,"Unia, vpod, SEV, Gewerkschaft Kommunikation, comedia, Syna, Garanto, SP, PdA, Grüne, K-Tipp, Saldo, Bon à Savoir"
490,Denknetz Schweiz
491,NR Ulrich Schlüer und NR Luzi Stamm
492,"Überparteiliches Komitee ""Ja zur Reisefreiheit"""
493,Stiftung Antidoping Schweiz
494,Schweizerischer Seniorenrat
495,Bundesamt für Statistik (BFS) und Bundesamt für Kultur (BAK)
496,Schweizerischer Verband für Weiterbildung SVEB
497,ETH-Rat
498,Zürcher Hochschule der Künste (ZHdK) und Bundesamt für Kultur (BAK)
499,Bundesamt für Sport BASPO und Nationales Jugendsportzentrum CST in Zusammenarbeit mit Swiss Olympic
500,Schweizerischer Gewerkschaftsbund (SBG)
501,Schweizer Netzwerk der Partner für Bildungsarbeit
502,Swisstransplant
503,Netzwerk Schweizer Pärke
504,Swiss Helicopter Association
